Var1,Psi,Theta,Phi,Psi_dt,Theta_dt,Phi_dt,X,Y,Z,X_M,Y_M,Z_M
1776,70.194075,-87.6241026666667,-68.8899936666667,-0.0191601111111111,0.0900917777777778,0.00312611111111111,0.231001,10.5388798888889,0.297754666666667,-22.8402777777778,-41.0347222222222,23.7708333333333
1777,74.3491333333333,-87.6433687777778,-64.5508901111111,-0.023783,0.0749153333333333,0.005201,0.318171,10.2337843333333,0.297754666666667,-23.0833333333333,-40.8611111111111,24.0486111111111
1778,76.974842,-87.6177232222222,-61.6874003333333,-0.0248226666666667,0.0679824444444444,0.00514466666666667,0.248435,11.2711103333333,0.280738,-23.25,-40.5833333333333,24.1458333333333
1779,80.769077,-87.440669,-57.800571,-0.0233253333333333,0.0694637777777778,0.00188688888888889,0.287661888888889,12.3084348888889,0.395587888888889,-22.9583333333333,-40.4027777777778,24.125
1780,80.6885404444444,-87.5276001111111,-57.6084508888889,-0.020525,0.077056,-0.002915,0.348680555555556,13.1016846666667,0.080807,-22.875,-40.2083333333333,24.1805555555556
1781,78.1141828888889,-87.6389592222222,-60.0225346666667,-0.0168832222222222,0.0736416666666667,-0.00682,0.156906,12.748646,0.191412,-22.75,-40.25,24.0625
1782,75.482936,-87.658616,-62.612697,-0.0157314444444444,0.0583054444444444,-0.00713066666666667,0.0740945555555556,12.3040766666667,0.472158,-23.1180555555556,-40.4444444444444,24.0625
1783,78.9218286666667,-87.75329,-59.2276174444444,-0.015225,0.04891,-0.00603266666666667,0.0828121111111111,11.0575426666667,1.407986,-23.0902777777778,-40.5694444444444,24.0069444444444
1784,85.1312864444444,-87.7103655555556,-53.246138,-0.0144572222222222,0.0434682222222222,-0.00506333333333333,0.209208666666667,10.1727653333333,0.944324333333333,-23.25,-40.8333333333333,23.7291666666667
1785,87.6027086666667,-87.6114786666667,-51.0773666666667,-0.0129738888888889,0.041956,-0.00475333333333333,0.156906,9.58000733333333,0.544473444444444,-23.2638888888889,-40.8472222222222,23.6180555555556
1786,92.1650733333333,-87.6634086666667,-46.5934832222222,-0.010949,0.0430106666666667,-0.00365933333333333,0.156906,8.94802344444444,0.416856777777778,-23.4375,-40.9513888888889,23.6875
