Var1,Psi,Theta,Phi,Psi_dt,Theta_dt,Phi_dt,X,Y,Z,X_M,Y_M,Z_M
41,-51.4979404444444,0.402838222222222,-2.70741622222222,-0.000665,4.81111111111111e-05,0.00463322222222222,0.475078,0,9.84314411111111,25.0625,20.375,-5.875
42,-51.4589364444444,0.402488444444444,-2.73532444444444,-0.001169,0.000122,0.004608,0.457644,0,9.85164766666667,25.0625,20.3888888888889,-5.34722222222222
43,-51.2762632187068,0.313209944774299,-2.69534256087841,-0.00141733333333333,0.000193888888888889,0.00536177777777778,0.431493,-0.0305098888888889,9.89844488888889,25.1319444444444,20.5416666666667,-5.09722222222222
44,-51.2090008888889,0.308131888888889,-2.65068633333333,-0.00161133333333333,0.000232333333333333,0.00630488888888889,0.501229,-0.00435855555555556,9.88142733333333,25.2916666666667,20.6666666666667,-4.97916666666667
45,-51.1316564444444,0.268292333333333,-2.65068788888889,-0.00173966666666667,0.000314,0.00829633333333333,0.470719,-0.039227,9.915462,25.2083333333333,20.7916666666667,-5.13194444444444
46,-51.0979683333333,0.223671,-2.62224033333333,-0.00186366666666667,0.000322,0.011081,0.509946,-0.0348684444444444,9.87291877777778,25.2430555555556,20.9305555555556,-5.34027777777778
47,-51.0591045555555,0.134274111111111,-2.56354766666667,-0.00200866666666667,0.000225333333333333,0.0139221111111111,0.501228888888889,0,9.838885,25.1875,20.875,-5.0625
48,-51.0716701111111,0.109155222222222,-2.58053044444444,-0.00232666666666667,1.2e-05,0.0156903333333333,0.444568,-0.0392266666666667,9.86441066666667,25.0416666666667,20.7291666666667,-4.79166666666667
49,-50.9835796666667,0.148199666666667,-2.59056466666667,-0.00264677777777778,-0.000201333333333333,0.0162101111111111,0.427134,-0.100245777777778,9.89844466666667,24.8888888888889,20.6875,-5.19444444444444
50,-50.948913,0.177347777777778,-2.58321622222222,-0.00281344444444444,-0.00026,0.0155974444444444,0.470719,-0.0566607777777778,9.94097633333333,24.8125,20.5625,-5.5625
51,-50.8960314444444,0.215908444444444,-2.690618,-0.002601,-0.000332,0.016214,0.470719,-0.039227,9.992019,24.8125,20.6319444444444,-5.70833333333333
52,-50.772256,0.132401,-2.834234,-0.002374,-0.000438,0.0166461111111111,0.470719,-0.039227,10.0217985555556,24.7847222222222,20.6458333333333,-5.76388888888889
53,-50.7368022222222,0.171466666666667,-2.92793522222222,-0.00203974687186168,-0.000457779931058817,0.0184267126184078,0.679927888888889,0.135113444444444,9.89418788888889,24.6458333333333,20.4583333333333,-5.35416666666667
54,-50.706568,0.142466444444444,-2.993899,-0.00182096697844652,-0.000482679951199675,0.0196763245221635,0.588399,1.019892,9.877173,24.5625,20.4305555555556,-5.22916666666667
55,-50.6743162903619,0.191799600569337,-3.05154273200488,-0.00159233333333333,-0.000490444444444444,0.0209206666666667,0.684286111111111,1.08526888888889,9.877173,24.6666666666667,20.5347222222222,-5.22916666666667
56,-50.8064788333198,0.280344356349917,-3.0023947782211,-0.00107844444444444,-0.000354888888888889,0.0221617777777778,0.867344111111111,0.562247777777778,9.91120277777778,24.75,20.5208333333333,-5.27083333333333
57,-50.8869236666667,0.354364777777778,-2.85003688888889,-0.000768,-1.73333333333334e-05,0.0212933333333333,1.019892,0.0130756666666667,10.004788,24.7013888888889,20.5,-5.05555555555556
58,-50.9608123333333,0.354889,-2.72111266666667,-0.000841888888888889,0.000349222222222222,0.0197091111111111,0.950155555555556,-0.527379444444444,9.97075844444445,24.5763888888889,20.3333333333333,-4.77777777777778
59,-51.0367398888889,0.286298444444444,-2.64199022222222,-0.00102766666666667,0.000635888888888889,0.0186811111111111,0.73223,-0.767097777777778,9.86440844444445,24.75,20.25,-4.9375
60,-50.9386601111111,0.227530888888889,-2.62675977777778,-0.001082,0.000681,0.018239,0.444568,-0.706078666666667,9.81336333333333,24.75,20.25,-5.26388888888889
61,-50.801188,0.133874,-2.544276,-0.001084,0.000304777777777778,0.0175832222222222,0.231001,-0.544814,9.89844488888889,24.7638888888889,20.25,-5.48611111111111
62,-50.7190098888889,0.0843668888888889,-2.64670922222222,-0.0011,5.98888888888889e-05,0.0159774444444444,0.126397,-0.370473111111111,9.94949577777778,24.7291666666667,20.2916666666667,-5.875
63,-50.6281538888889,0.0543497777777778,-2.68915144444444,-0.0011,-0.000104666666666667,0.0143813333333333,0.156906,-0.196133,9.915462,24.5347222222222,20.4861111111111,-5.93055555555556
64,-50.5845013333333,0.103505333333333,-2.71883,-0.00110755555555556,-0.000577777777777778,0.0123997777777778,0.039227,-0.152547555555556,9.90695344444444,24.4305159731835,20.7987100670412,-6.20845208044947
65,-50.5915442222222,0.133085111111111,-2.75822977777778,-0.001117,-0.00146055555555556,0.0110908888888889,0.091529,-0.126396888888889,9.84739344444444,23.8748576657178,20.9375,-6.75010675071167
